"ID";"RegioS";"Perioden";"PrijsindexBestaandeKoopwoningen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"AantalVerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"575";"PV20  ";"1995KW01";"    37.4";"";"";"    1000";"";"";"   66476";"      66"
"576";"PV20  ";"1995KW02";"    37.5";"     0.1";"";"    1224";"    22.4";"";"   66552";"      81"
"577";"PV20  ";"1995KW03";"    38.5";"     2.8";"";"    1487";"    21.5";"";"   70076";"     104"
"578";"PV20  ";"1995KW04";"    38.9";"     0.9";"";"    1801";"    21.1";"";"   67849";"     122"
"579";"PV20  ";"1995JJ00";"    38.1";"";"";"    5512";"";"";"   67913";"     374"
"580";"PV20  ";"1996KW01";"    40.0";"     2.8";"     6.8";"    1355";"   -24.8";"    35.5";"   69162";"      94"
"581";"PV20  ";"1996KW02";"    41.2";"     3.0";"     9.9";"    1652";"    21.9";"    35.0";"   71210";"     118"
"582";"PV20  ";"1996KW03";"    42.1";"     2.3";"     9.4";"    1780";"     7.7";"    19.7";"   74126";"     132"
"583";"PV20  ";"1996KW04";"    43.0";"     1.9";"    10.5";"    1934";"     8.7";"     7.4";"   74476";"     144"
"584";"PV20  ";"1996JJ00";"    41.6";"     9.2";"     9.2";"    6721";"    21.9";"    21.9";"   72509";"     487"
"585";"PV20  ";"1997KW01";"    43.7";"     1.8";"     9.4";"    1315";"   -32.0";"    -3.0";"   75620";"      99"
"586";"PV20  ";"1997KW02";"    44.4";"     1.5";"     7.8";"    1891";"    43.8";"    14.5";"   79193";"     150"
"587";"PV20  ";"1997KW03";"    45.7";"     2.9";"     8.4";"    1767";"    -6.6";"    -0.7";"   80506";"     142"
"588";"PV20  ";"1997KW04";"    46.2";"     1.1";"     7.5";"    1807";"     2.3";"    -6.6";"   80900";"     146"
"589";"PV20  ";"1997JJ00";"    45.0";"     8.2";"     8.2";"    6780";"     0.9";"     0.9";"   79297";"     538"
"590";"PV20  ";"1998KW01";"    47.0";"     1.7";"     7.4";"    1300";"   -28.1";"    -1.1";"   79832";"     104"
"591";"PV20  ";"1998KW02";"    47.4";"     0.9";"     6.7";"    1741";"    33.9";"    -7.9";"   81650";"     142"
"592";"PV20  ";"1998KW03";"    48.8";"     3.0";"     6.9";"    1878";"     7.9";"     6.3";"   88440";"     166"
"593";"PV20  ";"1998KW04";"    50.2";"     2.9";"     8.8";"    2052";"     9.3";"    13.6";"   86471";"     177"
"594";"PV20  ";"1998JJ00";"    48.3";"     7.5";"     7.5";"    6971";"     2.8";"     2.8";"   84559";"     589"
"595";"PV20  ";"1999KW01";"    50.5";"     0.6";"     7.6";"    1582";"   -22.9";"    21.7";"   89943";"     142"
"596";"PV20  ";"1999KW02";"    52.7";"     4.3";"    11.2";"    1918";"    21.2";"    10.2";"   93023";"     178"
"597";"PV20  ";"1999KW03";"    54.8";"     4.1";"    12.4";"    2268";"    18.2";"    20.8";"   98747";"     224"
"598";"PV20  ";"1999KW04";"    56.5";"     3.0";"    12.4";"    2175";"    -4.1";"     6.0";"  100441";"     218"
